 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account

 Ground state electric dipole moment in X,Y,Z:    0.000000   -0.000000    0.000002 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     9    18    -0.0000000    -0.0000000     0.0000017     0.67970     0.00000
     9    19     0.0214462    -0.6958510    -0.0000000     0.68440     0.00813
     9    20     0.0054945    -0.4577616    -0.0000000     0.69150     0.00355
     9    21     0.0000083    -0.0000049     0.0000000     0.75450     0.00000
     9    22     0.0000000     0.0000000     0.0000000     0.80900     0.00000
     9    23     0.0000000     0.0000000     0.0000000     0.96280     0.00000
     9    24    -0.9583175     3.7295496    -0.0000000     0.99200     0.36037
     9    25    -0.0000000     0.0000000    -0.0521781     0.99910     0.00007
     9    26     0.0000039    -0.0000022     0.0000000     1.01630     0.00000
     9    27     0.0000000    -0.0000000     0.0000008     1.10710     0.00000
     9    28    -0.0000006     0.0000094    -0.0000000     1.11920     0.00000
     9    29     0.0000000     0.0000000     0.0000000     1.15080     0.00000
     9    30     0.0000000     0.0000000     0.0000000     1.17230     0.00000
    10    10     0.0000000    -0.0000000    -0.0000023     0.00000     0.00000
    10    11     0.0000000     0.0000000     0.0000000     0.12210     0.00000
    10    12    -0.0000000     0.0000000    -0.0722601     0.14690     0.00002
    10    13     0.0000000     0.0000000     0.0000000     0.26850     0.00000
    10    14    -0.0000019     0.0000089    -0.0000000     0.31300     0.00000
    10    15    -0.0000000     0.0000000    -0.5055127     0.40110     0.00251
    10    16     0.0000000     0.0000000     0.0000000     0.53050     0.00000
    10    17     0.0000000     0.0000000     0.0000000     0.58650     0.00000
    10    18     0.0000000    -0.0000000    -0.0000018     0.58900     0.00000
    10    19    -0.1323840     0.1592465     0.0000000     0.59370     0.00062
    10    20    -0.0877388     0.1399622     0.0000000     0.60080     0.00040
    10    21    -0.0000036    -0.0000093    -0.0000000     0.66380     0.00000
    10    22     0.0000000     0.0000000     0.0000000     0.71830     0.00000
    10    23     0.0000000     0.0000000     0.0000000     0.87210     0.00000
    10    24     0.7123793    -2.6311631     0.0000000     0.90130     0.16408
    10    25    -0.0000000    -0.0000000     0.0201388     0.90840     0.00001
    10    26    -0.0000015    -0.0000049    -0.0000000     0.92560     0.00000
    10    27    -0.0000000     0.0000000    -0.0000009     1.01640     0.00000
    10    28    -0.0000061     0.0000128    -0.0000000     1.02850     0.00000
    10    29     0.0000000     0.0000000     0.0000000     1.06010     0.00000
    10    30     0.0000000     0.0000000     0.0000000     1.08160     0.00000
    11    11     0.0000000    -0.0000000     0.0000037     0.00000     0.00000
    11    12    -0.0000000     0.0000000    -0.3705641     0.02480     0.00008
    11    13     1.7926183    -4.7606989    -0.0000000     0.14640     0.09282
    11    14    -0.0000004    -0.0000014    -0.0000000     0.19090     0.00000
    11    15    -0.0000000     0.0000000    -0.0871844     0.27900     0.00005
    11    16     4.5429848     1.1828726     0.0000000     0.40840     0.22050
    11    17     0.0000000    -0.0000000     0.0000002     0.46440     0.00000
    11    18     0.0000000     0.0000000     0.0000000     0.46690     0.00000
    11    19     1.2204364     0.1949847    -0.0000000     0.47160     0.01765
    11    20    -1.6877224    -0.2563204     0.0000000     0.47870     0.03418
    11    21     0.0000000     0.0000000     0.0000000     0.54170     0.00000
    11    22     0.0000000    -0.0000000     0.0000062     0.59620     0.00000
    11    23     0.0000000     0.0000000    -0.0000107     0.75000     0.00000
    11    24     0.0000000     0.0000000     0.0000000     0.77920     0.00000
    11    25     0.0000000     0.0000000     0.2181712     0.78630     0.00092
    11    26    -0.0000061     0.0000184    -0.0000000     0.80350     0.00000
    11    27     0.0000000     0.0000000     0.0000000     0.89430     0.00000
    11    28     0.0000048     0.0000008     0.0000000     0.90640     0.00000
    11    29    -0.0464174     0.2280454    -0.0000000     0.93800     0.00124
    11    30     0.0000000    -0.0000000     0.0000000     0.95950     0.00000
    12    12     0.0000000    -0.0000000     0.0000089     0.00000     0.00000
    12    13    -0.0000034    -0.0000032    -0.0000000     0.12160     0.00000
    12    14    -0.0895884     0.0906764    -0.0000000     0.16610     0.00007
    12    15     0.0000000    -0.0000000     0.0000009     0.25420     0.00000
    12    16    -0.0000049    -0.0000016    -0.0000000     0.38360     0.00000
    12    17    -0.0000000    -0.0000000     0.0028911     0.43960     0.00000
    12    18     0.0000000    -0.0000000    -0.0120484     0.44210     0.00000
    12    19    -0.0000010    -0.0000053     0.0000000     0.44680     0.00000
    12    20     0.0000052    -0.0000023    -0.0000000     0.45390     0.00000
    12    21     0.0000000     0.0000000     0.0000000     0.51690     0.00000
    12    22    -0.0000000    -0.0000000    -0.4289417     0.57140     0.00258
    12    23    -0.0000000    -0.0000000     0.0349806     0.72520     0.00002
    12    24    -0.0000024     0.0000071    -0.0000000     0.75440     0.00000
    12    25    -0.0000000     0.0000000    -0.0000015     0.76150     0.00000
    12    26     0.0000000     0.0000000     0.0000000     0.77870     0.00000
    12    27    -0.0000000     0.0000000    -0.0051949     0.86950     0.00000
    12    28    -0.5317303     1.0191223    -0.0000000     0.88160     0.02854
    12    29    -0.0000010     0.0000027    -0.0000000     0.91320     0.00000
    12    30     0.0000000    -0.0000000     0.0601130     0.93470     0.00008
